Epsilon Lyrae,18h 44m 19.8s,"39° 40' 17.0""", 5.01
Albireo,19H 30M 43S,"27° 57' 35""", 3.07
Polaris,2H 31M 49S,"89° 15' 51""", 2.0
Mintaka,5H 32M 0S,"0° 17' 57""", 2.23
Alpha Capricorni,20H 18M 3S,"-13° 27' 19""", 4.23
Epsilon Pegasi,21H 44M 11S,"9° 52' 30""", 2.39
Gamma Delphini,20H 46M 39S,"16° 7' 28""", 5.09
Eta Cassiopeiae,0H 49M 6S,"57° 48' 55""", 3.44
Zeta Aquarii,22H 28M 50S,"0° 1' 12""", 3.65
Gamma Arietis,1H 53M 32S,"19° 17' 38""", 4.63
Sigma Cassiopeiae,23H 59M 1S,"55° 45' 18""", 4.88
65 Piscium,0H 49M 53S,"27° 42' 37""", 5.55,
Zeta Piscium,1H 13M 46S,"7° 34' 46""", 5.19
Gamma Arietis,1H 53M 32S,"19° 17' 38""", 3.88
Lambda Arietis,1H 57M 56S,"23° 35' 46""", 4.76
Gamma Andromedae,2H 3M 54S,"42° 19' 47""", 2.17
Iota Trianguli,2H 12M 22S,"30° 18' 11""", 99.0
Eta Persei,2H 50M 42S,"55° 53' 44""", 3.75
32 Eridani,3H 54M 18S,"-3° 2' 43""", 4.71
1 Camelopardalis ,4H 32M 2S,"53° 54' 39""", 6.94
Delta Orionis,5H 32M 0S,"0° 17' 57""", 2.23
Lambda Orionis,5H 35M 8S,"9° 56' 3""", 5.61
Sigma Orionis,5H 38M 45S,"-3° 23' 60""", 3.80
Zeta Orionis,5H 40M 46S,"-2° 3' 27""", 4.21
Beta Monocerotis,6H 28M 49S,"-8° 58' 1""", 99.0
Zeta Cancri,8H 12M 13S,"17° 38' 52""", 5.85
Gamma Leonis,10H 19M 58S,"19° 50' 29""", 2.23
Zeta Ursa Majoris,13H 23M 56S,"54° 55' 31""", 99.0
Kappa Boötis,14H 13M 28S,"51° 47' 20""", 5.57
Zeta Coronae Borealis,15H 39M 23S,"36° 38' 9""", 4.96
Sigma Coronae Borealis,16H 14M 41S,"33° 51' 31""", 6.51
Almach,2H 3M 54S,"42° 19' 47""", 2.17
Mizar,13H 23M 56S,"54° 55' 31""", 2.06
Alcor,13H 25M 14S,"54° 59' 17""", 4.01
